,Immature nptxEX,VLMC,CP,dNBL1,Immature MSN,dNBL2,Immature CMPN,dEGC,dNBL3,Immature cckIN,Immature dpEX,dNBL4,Immature DMIN,wntEGC,sfrpEGC,Immature mpEX,dNBL5,nptxEX,MSN,sstIN,Unknown,tlNBL,dpEX,MCG,CMPN,npyIN,cckIN,scgnIN,ribEGC,mpEX,ntng1IN,mpIN
Immature nptxEX,0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0
VLMC,0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0.7332363724708557,0.7580348253250122,0,0,2.4899001121520996,1.4821913242340088,1.6659386157989502,0.8441972136497498,0.0,1.7557291984558105,0.6468754410743713,0.0,0.0,1.5597490072250366,0.0,0.6326910853385925,1.7187669277191162,0,0
CP,0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0.7652794122695923,0.7879605889320374,0,0,2.5518085956573486,1.5603370666503906,1.7104462385177612,0.8573284149169922,0.0,1.7905783653259277,0.6848331689834595,0.0,0.0,1.628004789352417,0.0,0.6713990569114685,1.7570304870605469,0,0
dNBL1,0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0
Immature MSN,0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0
dNBL2,0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0
Immature CMPN,0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0
dEGC,0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0
dNBL3,0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0
Immature cckIN,0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0
Immature dpEX,0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0
dNBL4,0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0
Immature DMIN,0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0
wntEGC,0,1.6513959169387817,1.5974195003509521,0,0,0,0,0,0,0,0,0,0,5.731194496154785,4.704330921173096,0,0,4.15613317489624,4.702622413635254,3.308323860168457,1.6821238994598389,2.3082995414733887,3.4268369674682617,2.9620590209960938,0.8749657869338989,1.5965522527694702,4.10587215423584,1.6004011631011963,2.1568853855133057,3.373000144958496,0,0
sfrpEGC,0,1.6792194843292236,1.6357064247131348,0,0,0,0,0,0,0,0,0,0,3.893192768096924,3.30829119682312,0,0,3.9735031127929688,4.07742166519165,3.2140941619873047,1.5655139684677124,2.3764801025390625,3.3623268604278564,3.1495847702026367,0.8717634677886963,1.6383049488067627,4.100603103637695,1.6422611474990845,1.5788986682891846,3.2903835773468018,0,0
Immature mpEX,0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0
dNBL5,0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0
nptxEX,0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,2.2159583568573,0.8181344270706177,0,0,3.23209810256958,2.281745195388794,2.3945364952087402,1.6711649894714355,0.6800510287284851,1.8016289472579956,0.7245523929595947,0.754308819770813,0.0,1.6140379905700684,0.7165030837059021,0.712099552154541,1.7738029956817627,0,0
MSN,0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0.8160879015922546,0.8349184393882751,0,0,3.10109281539917,1.5236225128173828,2.337080955505371,1.5799709558486938,0.7420579791069031,1.7163267135620117,0.7473053336143494,0.806029200553894,0.0,1.5960314273834229,0.7737953066825867,0.7355056405067444,1.6631324291229248,0,0
sstIN,0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,2.8735761642456055,1.485668420791626,0,0,2.6516218185424805,2.3334598541259766,2.4960501194000244,1.7122459411621094,0.7307511568069458,1.8409440517425537,0.7511047720909119,0.7967584729194641,0.7421708703041077,2.366565704345703,0.7634362578392029,0.7394205927848816,1.815010905265808,0,0
Unknown,0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,2.819693088531494,1.5430819988250732,0,0,2.5776724815368652,2.3116352558135986,2.3993144035339355,1.6236598491668701,0.6806766986846924,1.8096489906311035,0.7424194812774658,0.7548416256904602,0.0,1.6988885402679443,0.7170872092247009,0.7304738759994507,1.7741167545318604,0,0
tlNBL,0,0.6921161413192749,0.7180486917495728,0,0,0,0,0,0,0,0,0,0,1.45741868019104,1.488809585571289,0,0,3.2011451721191406,2.9747815132141113,3.034182071685791,2.273207902908325,1.3770835399627686,2.4990615844726562,1.3182873725891113,1.486478567123413,0.7541982531547546,2.417729139328003,1.433774709701538,0.6920832395553589,2.461590528488159,0,0
dpEX,0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,3.0708065032958984,1.5538427829742432,0,0,3.3344168663024902,2.3239235877990723,1.7604105472564697,0.899686336517334,0.0,1.826272964477539,0.7380132675170898,0.0,0.7618600726127625,2.3413572311401367,0.0,0.7259387969970703,1.8012112379074097,0,0
MCG,0,0.7195925116539001,0.7440664768218994,0,0,0,0,0,0,0,0,0,0,2.749058723449707,3.0370893478393555,0,0,3.2909719944000244,2.4039859771728516,2.4790890216827393,1.5860692262649536,1.4180766344070435,2.55371356010437,2.0276436805725098,0.7944626212120056,0.7779119610786438,2.46533465385437,0.7838481664657593,1.3850064277648926,2.5219168663024902,0,0
CMPN,0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,1.482163429260254,1.5289555788040161,0,0,2.442145347595215,2.213200569152832,2.3048338890075684,1.5301731824874878,0.668841540813446,1.7503855228424072,0.7414351105690002,0.7447242736816406,0.0,1.6717597246170044,0.7060186266899109,0.7294605374336243,1.6993732452392578,0,0
npyIN,0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,2.7981133460998535,1.4979549646377563,0,0,2.546393394470215,2.2590742111206055,2.407801866531372,1.6272010803222656,0.7080814838409424,1.7956032752990723,0.7772109508514404,0.7779577374458313,0.0,1.6879582405090332,0.742548942565918,0.7663711309432983,1.7566689252853394,0,0
cckIN,0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0.8334795832633972,0.8508548736572266,0,0,3.0557634830474854,1.4529027938842773,2.309861660003662,1.5854754447937012,0.7401201128959656,1.6950669288635254,0.769363284111023,0.8044452667236328,0.0,1.5339665412902832,0.7720227241516113,0.7582603693008423,1.6422007083892822,0,0
scgnIN,0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,1.4409997463226318,1.4896559715270996,0,0,2.482994318008423,2.3069241046905518,2.317228317260742,1.5338997840881348,0.6549125909805298,1.77058744430542,0.736558735370636,0.7327116131782532,0.0,1.7005360126495361,0.6929355263710022,0.724442183971405,1.7225921154022217,0,0
ribEGC,0,0.7945299744606018,0.7138276696205139,0,0,0,0,0,0,0,0,0,0,1.4790128469467163,1.7012765407562256,0,0,2.8837499618530273,2.866574287414551,2.1545205116271973,0.6801414489746094,1.42171311378479,2.3416857719421387,1.503791093826294,0.0,0.6869770884513855,2.9016427993774414,0.6867772936820984,1.4737932682037354,2.2517824172973633,0,0
mpEX,0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,2.992410659790039,1.5141148567199707,0,0,3.284653663635254,2.301975965499878,1.763014554977417,0.9024493098258972,0.0,1.8280575275421143,0.7372610569000244,0.0,0.0,1.6627061367034912,0.0,0.7251647710800171,1.8035366535186768,0,0
ntng1IN,0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0
mpIN,0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0
